Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02043052


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2043052;1;01/12/1978;1;67,7;295,2;30;20;1;1;1;;0;0,0;1,5;10,6;0,0;0,0;0,0;0,0;4,1;8,1;17,3;65,1;0,9;4,5;1,8;0,0;5,4;2,1;13,6;0,0;0,0;6,4;22,5;28,2;18,8;0,0;0,0;0,0;14,4;1,0;67,7;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/12/1979;1;;;;;0;0;0;;0;0,0;0,0;13,2;25,1;22,4;0,0;0,0;0,0;0,0;;0,0;57,9;2,0;0,4;0,0;33,2;1,2;61,2;65,1;20,0;31,0;3,8;20,4;;38,8;1,8;36,2;10,1;0,1;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/05/1980;1;;;;;0;0;0;;0;;0,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;0,0;0,0;0,2;0,0;;3,1;0,0;0,0;4,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/11/1981;1;;;;;0;0;0;;0;0,0;0,9;0,3;5,5;3,0;0,0;0,0;72,5;4,4;13,8;;31,2;12,6;24,0;13,9;2,9;0,1;2,3;0,0;11,4;16,1;0,0;0,0;0,0;0,0;21,9;7,7;0,0;0,0;7,7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/08/1984;1;;;;;0;0;0;;0;0,0;;;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;13,4;10,8;0,0;0,0;0,0;0,0;0,0;3,9;6,0;4,3;;;0,0;2,2;0,0;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/03/1991;1;35,8;187,6;25;19;1;1;1;;0;0,4;0,0;0,0;4,4;10,8;2,0;0,0;0,0;0,0;0,0;0,0;11,0;10,0;22,6;0,0;0,6;0,0;0,0;1,0;0,2;0,0;21,0;26,6;16,6;35,8;3,6;11,2;0,0;1,8;1,8;6,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/03/1993;1;32,0;192,6;26;14;1;1;1;;0;9,0;7,0;0,0;27,0;10,0;0,0;0,0;0,0;0,0;5,0;14,0;9,1;0,0;0,0;0,0;21,4;0,0;0,0;10,8;16,6;0,0;0,0;0,0;0,0;0,0;32,0;10,6;7,0;13,1;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/03/1980;1;9,9;24,2;11;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,9;0,0;5,0;0,3;0,8;7,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/12/1992;1;48,0;263,3;11;18;1;1;1;;0;16,0;3,2;3,0;0,0;0,0;0,0;0,3;0,0;44,2;42,0;48,0;18,2;10,4;0,0;0,0;9,4;7,1;7,0;6,5;6,2;0,0;0,0;0,0;0,0;5,8;12,0;0,0;22,2;1,8;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/12/1993;1;50,0;243,9;9;19;1;1;1;;0;0,0;0,0;1,9;0,0;0,0;0,0;1,9;8,8;50,0;29,0;32,0;0,0;0,0;5,0;0,0;0,9;19,0;0,0;2,0;30,0;0,0;0,0;6,0;6,6;0,0;6,6;4,8;11,0;4,4;13,8;10,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/01/1982;1;;;;;0;0;0;;0;0,0;1,1;62,4;22,1;13,8;0,0;0,1;0,0;15,6;;6,5;15,2;38,4;0,0;0,0;0,0;0,0;0,0;;0,0;3,2;11,9;0,3;26,5;50,6;14,0;1,0;0,0;6,5;1,9;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/06/1982;1;;;;;0;0;0;;0;0,0;0,0;;0,0;0,0;0,0;;0,9;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;2,7;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/01/1983;1;43,6;351,9;25;27;1;1;1;;0;4,4;6,7;18,4;15,2;2,1;10,8;24,3;24,8;0,6;0,0;0,6;23,0;7,1;22,8;9,7;1,0;2,1;0,0;28,7;32,6;19,5;17,8;1,2;14,4;43,6;14,2;5,3;0,2;0,0;0,0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/06/1983;1;8,2;15,7;3;5;1;1;1;;0;1,8;0,0;8,2;3,3;0,2;0,0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/11/1984;1;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;0,0;;14,5;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/09/1990;1;;;;;0;0;0;;0;;;15,3;0,0;0,0;0,0;0,0;;;0,0;0,0;0,0;0,0;0,0;;;0,0;0,0;0,0;0,0;0,0;;;0,0;0,0;0,0;0,0;0,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/06/1978;1;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;1,2;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
